Город,Температура (°C),Описание
Нур-Султан,7.97,ясно
Алматы,15.95,пасмурно
Бестобе,11.71,облачно с прояснениями
Нур-Султан,9.97,ясно
Нур-Султан,9.97,ясно
Нур-Султан,9.97,ясно
Нур-Султан,9.97,ясно
Нур-Султан,8.82,небольшая облачность
Нур-Султан,8.82,небольшая облачность
Нур-Султан,9.97,ясно
Норильск,-1.9,пасмурно
Нур-Султан,9.97,ясно
Нур-Султан,9.97,ясно
Нур-Султан,9.97,ясно
Нур-Султан,10.97,ясно
Нур-Султан,10.97,ясно
Нур-Султан,10.97,ясно
Нур-Султан,10.97,ясно
Нур-Султан,10.97,ясно
Нур-Султан,10.97,ясно
Нур-Султан,11.36,переменная облачность
Нур-Султан,11.36,переменная облачность
